@relation corpus_tweets_t1 
@attribute text string 
@attribute classe {+,-,=}
@data
"#Question orale à @RoyalSegolene au sujet de l'efficacité énergétique de @MicheleBonneton http://t.co/RrHxGn5URS @Dailymotion", +
"@PhanEd @AznAlainT @_Baekholic alors j'ai une blague mais dure a comprendre: On est ecologiques a nous 3 on se rebelle groupe Anti-Train !", -
""On peut vendre du vent, regarde les éoliennes"", =
"Développement durable ma gueule", -
"Quand l'cosystme numrique bordelais rencontre la mission French Tech nationale http://t.co/oCqL9tb4SZ", =
"Madame Ségolène Royale, ministre de l'écologie et du développement durable : Non, à la destruction des "nuisibles" http://t.co/jUYWddlIMe", -
"Le nouveau Monsieur " développement durable ": Jacques Tapin, l’ex-élu municipal niortais, vient d’être porté ... http://t.co/hrDGKOkyJd", +
"Le ciment s’offre une empreinte carbone réduite: Si le ciment est connu pour ses qualités écologiques, il est ... http://t.co/Gd028bTRe2", =
"J'ai mis à jour mon profil Viadeo : http://t.co/pdQtQFh9Sz", =
"@F_Choquette  pourquoi une pétition contre le changement climatique si vous etes meme pas capable de traiter un simple dossier citoyen", -
""Quand l'écosystème numérique bordelais rencontre la mission French Tech nationale …"  http://t.co/QtgZ1zLIcT good read", =
"Ad exchange et DMP: l'écosystème digital en route pour inventer les subprimes de la #pub en faisant croire bundle YouTube+socialTV+data=TF1?", +
"Content de participer au groupe de travail @LaFabriqueEcolo sur mondialisation et développement durable, beaucoup d'échanges et d'énergie", +
"Camping rime aujourd'hui avec technologie : la preuve en est avec cette tente aux capteurs solaires intégrés dans... http://t.co/ylRP0Ua5Wd", +
"7 Principes de l’Engagement #RSE du #Dirigeant | @CalvoConstant http://t.co/QSorpZGxgE", +
"For emergencies in #Guinea CALL Ministère de l'Environnement et du Developpement Durable on", =
"1 milliards d'euros pour lutter contre le changement climatique | Infogreen http://t.co/UsR5uIXHZU via @sharethis", +
"La ville écosystème du XXIème siècle: 00:28:07La ville est devenue un écosystème au sens biologique du terme, ... http://t.co/ta9a16BTxe", =
"Oekozenter Pfaffenthal: le temple du développement durable au Luxembourg | Infogr http://t.co/LnHnLkIdnc via @sharethis", =
"#prix des voyages #aériens départ France au même niveau en juin 2014 qu’en juin 2013 & baissent de 1% au 1er semestre http://t.co/uU3djI8IU9", -
"La réponse aux ringards de Valeurs Actuelles http://t.co/v3Gc1L16M1 Les éoliennes défigurent la France ?", -
