@relation corpus_tweets_t1 
@attribute text string 
@attribute polarity {+,-,=}
@data
"#question orale a <utilisateur> sujet efficacite energetique <utilisateur> <url> <utilisateur>", +
"<utilisateur> <utilisateur> <utilisateur> blague dure comprendre: ecologiques 3 rebelle groupe anti-train !", -
"vendre vent, regarde eoliennes", =
"©veloppement durable gueule", -
"cosystme numrique bordelais rencontre mission french tech nationale <url>", =
"madame ©goleroyale, ministre ecologie ©veloppement durable :  a destruction nuisibles <url>", -
"nouveau monsieur  ©veloppement durable : jacques tapin, Äôex-elu municipal niortais, vient Äôetre porte ... <url>", +
"ciment Äôoffre empreinte carbone ©duite: ciment connu qualiteecologiques, ... <url>", =
"mis a jour profil viadeo : <url>", =
"<utilisateur>  ©tition changement climatique etes meme capable traiter simple dossier citoyen", -
"ecosystenumerique bordelais rencontre mission french tech nationale ‚Ä¶  <url> good read", =
"ad exchange dmp: ecosystedigital route inventer subprimes #pub faisant croire bundle youtube+socialtv+data=tf1?", +
"content participer groupe travail <utilisateur> mondialisation ©veloppement durable, echanges energie", +
"camping rime technologie : preuve tente capteurs solaires inte©.. <url>", +
"7 principes Äôengagement #rse #dirigeant | <utilisateur> <url>", +
"for emergencies in #guinea call ministere environnement developpement durable on", =
"1 euros lutter changement climatique | infogreen <url> <utilisateur>", +
"ville ecosystexxie®cle: 00:28:07la ville devenue ecosystesens biologique terme, ... <url>", =
"oekozenter pfaffenthal: temple ©veloppement durable luxembourg | infogr <url> <utilisateur>", =
"#prix voyages #©riens ©part france ™niveau juin 2014 qu‚Äôjuin 2013 & baissent 1% 1er semestre <url>", -
"©ponse ringards valeurs actuelles <url> eoliennes ©figurent france ?", -
"club ambassadeurs alsace - portrait mois : nicolas boidevezi <url>", =
"cc <utilisateur> <utilisateur> // Äôinnovation rayonne a versailles >> <url>", +
"#©veloppementdurable appareils connectemode veille : ¢chis planetaire <url>", -
"60mds‚Ç¨, conso mondiale appareils veille : <url> #gachis", =
"appareil connecte : couplanetaire, ¢chis environnemental <url>", -
"suivi ©marche ©veloppement durable iso 26000 - #hautsdeseine <url>", =
"avis autorite environnementale, relatif projet interreg france (manche) angleterre 2014-... <url>", =
"avis autorite environnementale, relatif projet interreg france (manche) angleterre 2014-... <url>", =
"bambou, vertus ecologiques ..humaines <url>", +
"remarque utilisait cpeintures ecologiques, odeur excellente febreze hop", -
"mode veille : ¢chis planetaire 60 ‚Ç¨/an <url> <utilisateur> <utilisateur> <url>", -
"infographie interessante sujet villes ecologiques monde ! <url>", +
"#saint-brieuc. eoliennes offshore 8 mw <url> #emr #mer #bretagne #brest", =
"©veloppement durable : ©tiers avenir. <url>", =
"ville, ecosystexxie®cle <url>", =
"#algerie #eau centrales hydroelectriques bientoa Äôarre<url> @<utilisateur>", =
"prevention risques Äôinondation - strategie face risques Äôinondations¬†: subir, anticiper <url>", +
"strategie face risques Äô #inondations : subir, anticiper organiser #gescrise #gesrisque <url>", +
"uneca - maroc accueillera quatrieconference changement climatique ©veloppement ... <url>", +
"#climat : Äôassombrissement surface groenland printemps amplifie changement climatique calotte <url>", -
"preparer #vacances bord eau. guide loisirs #nautiques #eau douce ! <url>", +
"directeur cabinet ministre Äôenvironnement ©veloppement durable abdoulaye balde, indique .. <url>", =
"rt <utilisateur> 185 Äôeuros assainir eaux <url>", =
"#smurfitkappa renforce engagement faveur lutte changement climatique <url>", +
"mission commerciale #france-3quebec 3developpement edurable - infopresse | <utilisateur> <url>", =
"fiasco energetique ‚Äì interessez a ecologisme, dernier occupe  <url>", -
"fiasco energetique ‚Äì echec economique & social ©veloppement durable, paradigme ideologique dominant europe <url>", -
"antillais investissent afrique | afrique... <url>", +
"tourne sens robby swift fond eoliennes a pozo !4min rafraichissantes ! <url> <utilisateur>", =
"<utilisateur> <utilisateur> <utilisateur> <utilisateur> creer tjrs + disciplines (©veloppement durable , mauvaise direction", -
"bizarre, plutofactures <utilisateur> (voleurs actuels) <utilisateur> choisit parler eoliennes. bizarre, bizarre.", -
"#abeilles sensibles #pesticides #©©mauvaise  <utilisateur> <url> #biodiversite", -
"passe a #chasse #loups <utilisateur> <url> #biodiversite", =
"bonjour a    mercredi 16 juillet 2014 stand Äôanimation ©veloppement durable installe .. <url>", =
"#climat #mardidd #dd plan match trifluvien ©veloppement durable - hebdo <url> <url>", =
"#dd plan match trifluvien ©veloppement durable - hebdo <url> <url>", =
"performance environnementale #¢timents : professionnels veulent experimenter label | <utilisateur>/ <url>", =
"#budget #2015 : ministere #ecologie nouveau a die| <utilisateur> <url>", =
"avis commission ©veloppement durable an #reformeterritoriale <url>", =
"nucleaire  eoliennes moche, charbon cpue !", -
"lettre mobilite durable #cerema sortie! <url> notamment <utilisateur> <utilisateur> <utilisateur>", =
"12e edition universite e© #communication #©veloppement #durable <nombre> septembre a bordeaux <url>", =
"√âoliennes : rapport accuse | valeurs actuelles <url> <utilisateur>", -
"compagnie vent, groupe gdf suez, fonds mirova eurofideme 2, partenaires 5 centrales solaires sol <url>", +
"# architecture  #developpement durable # energie ‚Ä¢ ™ves impossibles  <url> <utilisateur>", +
"cannabis changement climatique <url>", =
"√âoliennes, © abandon patrimoine, vandalisme municipal!imperialisme laid! poids ds enveloppes!#francedefigure#francebradee", -
"<utilisateur> <utilisateur> <utilisateur> voila version 2014 <url>", =
"impressionnante petite elise eoliennes :/ wow #dansleparc #letape <url>", +
"©chauffement climatique => extension banquise !!!!!! <url>", =
"<utilisateur> bonjour & merci tweet. rappeler : agence environnement ©veloppement durable", +
"ecosyste#numerique bordelais <utilisateur> <utilisateur> mobilisecandidature a <utilisateur> <url>", =
"eoliennes : ¬´croit devenir fou ¬ª - Äôimplantation engins village saumuroi... <url>", -
"#©veloppementdurable #applicationsmobiles - <url>", =
"toit-eoliennes <url>", =
"conseil enfants jeunes (9-11 ans) schiltigheim, 67300. handicap, visuel, auditif, moteur, action !:... <url>", =
"<utilisateur> eoliennes proches habitation nuisance ; tueuses oiseaux (lpo)<utilisateur> <utilisateur>", -
"conseiller/conseillere ©veloppement durable (remplacement .. <url>", =
"conseiller/conseillere ©veloppement durable (remplacement .. <url>", =
"web ©rie sensibiliser gestes ecologiques entreprise <url>", =
"affaires #sarkozy: Äôtermine! <url> om- changement climatique, ordre temple solaire...#sm ¢chera rien", =
"alain #rousset observe, malice, ecosysterecherche-universite complexe feuille territorial !", -
"ministere ©veloppement durable, Äôenvironnement lutte changements clima tiques |... <url>", +
"soir <utilisateur> 3eprix ©veloppement durable 1er classement ©©ral !! derniere ligne droite ! <url>", +
"<utilisateur> <utilisateur> raison, prends vent, grave, eoliennes, tendance #mercisegolene", +
"<utilisateur> vie! :suivi changement climatique, changement espace, cellules cre voila pense", =
"<utilisateur> raisons ecologiques, sanitaires, lutter famine, a terme questions place", -
"exporter electricite ontario, crapporte! | <url> - choix ecologiques,... <url>", =
"©chauffement climatique problechangement climatique affecte monde a  <url>", -
"[rediff]: 13 ans ©volutionne panneaux solaires <url>", +
"ingenieur logistique ©veloppement durable - stage <url> #stage #logistique", =
"ingenieur logistique ©veloppement durable - stage <url> #stage #logistique", =
"#chine combattre particules fines hydraulique...menace #biodiversite himalaya | <url>", -
"prix femmes ©veloppement durable <url> ¥ture candidatures 15 juillet 2014", =
"<utilisateur> putain changement climatique.", -
"√âoliennes prises illegales inte™impliquant elus locaux <url>", -
"©coltez bienfaits ©toxification: sante, energie, peau lisse & rajeunie, perte poids naturelle >> <url>", +
"louis giscard estaing ©pertorie 18 maires france  favorables voitures ecologiques action <url>", +
"#climat eoliennes, arme torture massive etres vivants. <url> ‚Ä¶ <url>", -
"esprits jeunes ©veloppent ideadultes, crois † ©veloppement durable.... <url>", =
"eoliennes mer : convention signehavre areva favoriser recrutement local : <url> #rouen", +
"#risque #inondation : anticiper, strategie gouvernementale <url> <utilisateur>", +
"bretigny, an ®: ©agir, soutenir, accompagner <url> <url>", +
"avantage panneaux solaires : Äôenergie solaire inepuisable contrairement energies fossiles. <url>", +
"#bruxelles boude #fonds vert #climat <utilisateur> | <utilisateur> <url>", -
"<utilisateur> ecosysteme integrer tour xd", =
"#biodiversite assembleautorise eleveurs a abattre loups : ©goleroyal franchi limite <url>", -
"protection biodiversite : dysfonctionnement inacceptable úur parc national √âcrins: ¬†depu... <url>", -
"idkw kiffe eoliennes", +
"<utilisateur> solution changement climatique pollution atmospherique, pays culture ªrete.", +
"algerie ©cide fermer centrales hydroelectriques - portail algeenergies renouvelables <url>", -
"universite e© communication ©veloppement durable - universite e© communic... | <utilisateur> <url>", =
"mode emploi ©seau social humanite-biodiversite.fr <url>", =
"#energie appareils connectemode veille : ¢chis planetaire: <url>", -
"parc naturel marin iroise <url> #biodiversite", =
"parcs naturels ©gionaux : projets innover territoires ruraux - localti... | <utilisateur> <url>", +
"publication ∞4 collection saga : saga nuit, biodiversite nocturne poll... | <utilisateur> <url>", -
